signal_label,tau,smooth_window,reference_quantile,n_pairs,n_runs,t_conv_range,t_plateau_range,spearman,p_value,slope
SVE grid b5,0.1,1,1.0,11,12,18432.0,100000.0,0.066369347798667,0.8462697309749497,0.4813498126971618
SVE grid b5,0.1,5,0.5,0,12,,,,,
SVE grid b5,0.1,5,1.0,11,12,18432.0,77500.0,-0.28184238144540524,0.40110272516585843,-1.4864082216088315
SVE grid b5,0.1,9,0.5,0,12,,,,,
SVE grid b5,0.1,9,1.0,11,12,18432.0,82500.0,0.004697373024090087,0.9890638132513392,-0.08279216778391314
SVE grid b5,0.2,1,0.5,2,12,6144.0,22500.0,,,
SVE grid b5,0.2,1,1.0,12,12,18432.0,85000.0,0.14857510687404707,0.6449159991337094,0.7282306196351925
SVE grid b5,0.2,5,0.5,4,12,6144.0,107500.0,-0.21081851067789195,0.7891814893221081,-1.7632378472222001
SVE grid b5,0.2,5,1.0,12,12,18432.0,32500.0,0.3370118277874726,0.28407136418302986,0.874924557403433
SVE grid b5,0.2,9,0.5,6,12,14336.0,125000.0,0.9404032585917882,0.005221820373325742,7.911538178066037
SVE grid b5,0.2,9,1.0,12,12,18432.0,67500.0,0.04167350558662295,0.8976812123106972,-0.18336742221030075
SVE grid b5,0.3,1,0.5,4,12,6144.0,100000.0,-0.2581988897471611,0.7418011102528389,-3.5264756944444478
SVE grid b5,0.3,1,1.0,12,12,18432.0,57500.0,0.1931861194349541,0.5474578336116579,1.4145486856223164
SVE grid b5,0.3,5,0.5,10,12,18432.0,117500.0,-0.23211296086970093,0.5187355478639348,-1.2885199652777766
SVE grid b5,0.3,5,1.0,12,12,18432.0,35000.0,0.23790311036756367,0.45652620478947126,0.5972538894849789
SVE grid b5,0.3,9,0.5,8,12,18432.0,92500.0,0.39761922148730094,0.3293169029907768,2.4769607099514594
SVE grid b5,0.3,9,1.0,12,12,18432.0,60000.0,0.1570765644003832,0.6258819839010759,0.26719252950643724
SVE kNN,0.1,1,0.5,0,12,,,,,
SVE kNN,0.1,1,1.0,0,12,,,,,
SVE kNN,0.1,5,0.5,0,12,,,,,
SVE kNN,0.1,5,1.0,4,12,8192.0,150000.0,0.19999999999999998,0.8,1.8136160714285712
SVE kNN,0.1,9,0.5,0,12,,,,,
SVE kNN,0.1,9,1.0,6,12,10240.0,125000.0,0.27322953332351235,0.6003545904291114,4.68409338662792
SVE kNN,0.2,1,0.5,0,12,,,,,
SVE kNN,0.2,1,1.0,5,12,18432.0,155000.0,0.19999999999999998,0.7470600781046621,-0.36507009345794683
SVE kNN,0.2,5,0.5,1,12,0.0,0.0,,,
SVE kNN,0.2,5,1.0,10,12,18432.0,120000.0,0.2925975386212639,0.4119828434565708,1.8442449963163061
SVE kNN,0.2,9,0.5,2,12,0.0,30000.0,,,
SVE kNN,0.2,9,1.0,11,12,18432.0,170000.0,0.30853250670279087,0.355943872988109,5.022263684809597
SVE kNN,0.3,1,0.5,0,12,,,,,
SVE kNN,0.3,1,1.0,10,12,18432.0,170000.0,0.7465254687430921,0.013125791337425903,4.6793619791666625
SVE kNN,0.3,5,0.5,2,12,2048.0,5000.0,,,
SVE kNN,0.3,5,1.0,12,12,18432.0,105000.0,0.16911836935216054,0.5992785246033804,0.41912553648068734
SVE kNN,0.3,9,0.5,6,12,10240.0,125000.0,0.030358837035945815,0.9544757346935634,1.9588026889534977
SVE kNN,0.3,9,1.0,12,12,18432.0,132500.0,0.3668103081658449,0.24085946821506035,4.610380901287551
